time="2018-11-12T15:22:53+00:00" level=info msg="Adding key" key_id=key-1 pid=2427 public_key="ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDcLEk6S1DvJr+WMF0G8Vx1ZbrP/TDBQM5bc/I1SsH88IxIErEyfSTPq6DnN0riNVKZNLjL+WJBOvp6c9BdB6kkrk0uMsyc7JVfCDJvZWJT3NHJi4YHx8ajRDdsaETHEoisMRycgCGec5cpRR03QIfEovoMlVi+P4IDkH5Cio5Xh2xrJYt16/PiPhcDvPYsUIZNvgrSHHTp7itpEmyIEsWAnYsi/w32zVIfjDuCEbAyXXzalo673FboWoSif3PZXI8mXA6ieqfEtdGV1M46Fj2XnjiksYDVk7Fcii+8Ju5CifXVSMzG2rudF5non82jbKTmkHWldIWWOrMQO9SF7hQt"
time="2018-11-12T15:24:14+00:00" level=info msg="finished HTTP request" duration=2.7224415 method=POST pid=2629 url="http://127.0.0.1:8080/api/v4/internal/allowed"
time="2018-11-12T15:24:14+00:00" level=info msg="finished HTTP request" duration=0.0536275 method=POST pid=2629 url="http://127.0.0.1:8080/api/v4/internal/pre_receive"
time="2018-11-12T15:24:15+00:00" level=info msg="finished HTTP request" duration=0.2482863 method=POST pid=2658 url="http://127.0.0.1:8080/api/v4/internal/post_receive"
time="2018-11-12T16:15:59+00:00" level=info msg="finished HTTP request" duration=0.5280773 method=POST pid=10788 url="http://127.0.0.1:8080/api/v4/internal/allowed"
time="2018-11-12T16:15:59+00:00" level=info msg="finished HTTP request" duration=0.0090553 method=POST pid=10788 url="http://127.0.0.1:8080/api/v4/internal/pre_receive"
time="2018-11-12T16:16:00+00:00" level=info msg="finished HTTP request" duration=0.3241398 method=POST pid=10803 url="http://127.0.0.1:8080/api/v4/internal/post_receive"
time="2018-11-12T16:17:29+00:00" level=info msg="finished HTTP request" duration=1.2989256 method=POST pid=11341 url="http://127.0.0.1:8080/api/v4/internal/allowed"
time="2018-11-12T16:17:29+00:00" level=info msg="finished HTTP request" duration=0.0399446 method=POST pid=11341 url="http://127.0.0.1:8080/api/v4/internal/pre_receive"
time="2018-11-12T16:17:29+00:00" level=info msg="finished HTTP request" duration=0.1820924 method=POST pid=11358 url="http://127.0.0.1:8080/api/v4/internal/post_receive"
time="2018-11-12T16:23:19+00:00" level=info msg="finished HTTP request" duration=0.8007314 method=POST pid=12448 url="http://127.0.0.1:8080/api/v4/internal/allowed"
time="2018-11-12T16:23:19+00:00" level=info msg="finished HTTP request" duration=0.0763469 method=POST pid=12448 url="http://127.0.0.1:8080/api/v4/internal/pre_receive"
time="2018-11-12T16:23:20+00:00" level=info msg="finished HTTP request" duration=0.1367169 method=POST pid=12465 url="http://127.0.0.1:8080/api/v4/internal/post_receive"
time="2018-11-12T16:52:34+00:00" level=info msg="finished HTTP request" duration=1.4464967 method=POST pid=16487 url="http://127.0.0.1:8080/api/v4/internal/allowed"
time="2018-11-12T16:52:34+00:00" level=info msg="finished HTTP request" duration=0.0094568 method=POST pid=16487 url="http://127.0.0.1:8080/api/v4/internal/pre_receive"
time="2018-11-12T16:52:34+00:00" level=info msg="finished HTTP request" duration=0.1693371 method=POST pid=16503 url="http://127.0.0.1:8080/api/v4/internal/post_receive"
